identifiant	super class		
MNPDB00001	Benzenoids		
MNPDB00002	Lipids and lipid-like molecules		
MNPDB00004	Lipids and lipid-like molecules		
MNPDB00005	Lipids and lipid-like molecules		
MNPDB00007	Alkaloids and derivatives		
MNPDB00008	Alkaloids and derivatives		
MNPDB00009	Alkaloids and derivatives		
MNPDB00010	Alkaloids and derivatives		
MNPDB00011	Lipids and lipid-like molecules		 
MNPDB00012	Alkaloids and derivatives		
MNPDB00013	Alkaloids and derivatives		
MNPDB00014	Lipids and lipid-like molecules		
MNPDB00015	Alkaloids and derivatives		
MNPDB00016	Alkaloids and derivatives		
MNPDB00017	Lipids and lipid-like molecules		
MNPDB00018	Alkaloids and derivatives		
MNPDB00019	Alkaloids and derivatives		
MNPDB00020	Alkaloids and derivatives		
MNPDB00021	Alkaloids and derivatives		
MNPDB00023	Alkaloids and derivatives		
MNPDB00024	Phenyl propanoids and polyketides		
MNPDB00025	Phenyl propanoids and polyketides		
MNPDB00026	Alkaloids and derivatives		
MNPDB00027	Alkaloids and derivatives		
MNPDB00028	Alkaloids and derivatives		
MNPDB00029	Lipids and lipid-like molecules		
MNPDB00030	Alkaloids and derivatives		
MNPDB00031	Alkaloids and derivatives		
MNPDB00032	Alkaloids and derivatives		
MNPDB00033	Organic acids and derivatives		
MNPDB00036	Alkaloids and derivatives		
MNPDB00037	Phenyl propanoids and polyketides		
MNPDB00038	Organic oxygen compounds		
MNPDB00039	Lipids and lipid-like molecules		
MNPDB00040	Alkaloids and derivatives		
MNPDB00041	Lipids and lipid-like molecules		
MNPDB00042	Lipids and lipid-like molecules		
MNPDB00043	Lipids and lipid-like molecules		
MNPDB00044	Lipids and lipid-like molecules		
MNPDB00045	Lipids and lipid-like molecules		
MNPDB00046	Organic oxygen compounds		
MNPDB00047	Lipids and lipid-like molecules		
MNPDB00048	Lipids and lipid-like molecules		
MNPDB00050	Organic oxygen compounds		
MNPDB00051	Lipids and lipid-like molecules		
MNPDB00052	Lipids and lipid-like molecules		
MNPDB00053	Lipids and lipid-like molecules		
MNPDB00054	Lipids and lipid-like molecules		
#N/A	Organo hetero cyclic compounds		
MNPDB00058	Lipids and lipid-like molecules		
MNPDB00060	Lipids and lipid-like molecules		
MNPDB00061	Lipids and lipid-like molecules		
#N/A	Lipids and lipid-like molecules		
MNPDB00063	Lipids and lipid-like molecules		
MNPDB00064	Phenyl propanoids and polyketides		
MNPDB00065	Alkaloids and derivatives		
MNPDB00066	Benzenoids		
MNPDB00067	Organo hetero cyclic compounds		
MNPDB00068	Lipids and lipid-like molecules		
MNPDB00069	Alkaloids and derivatives		
MNPDB00070	Phenyl propanoids and polyketides		
MNPDB00071	Organic oxygen compounds		
