Ligand;Binding Affinity;rmsd/ub; rmsd/lb
toxin_10382485_uff_E=308.42_uff_E=308.33;-6.9;0.0;0.0
toxin_10382485_uff_E=308.42_uff_E=308.33;-6.9;22.0;18.972
toxin_10382485_uff_E=308.42_uff_E=308.33;-6.7;27.175;21.656
toxin_10382485_uff_E=308.42_uff_E=308.33;-6.6;20.778;18.882
toxin_10382485_uff_E=308.42_uff_E=308.33;-6.6;22.655;21.294
toxin_10382485_uff_E=308.42_uff_E=308.33;-6.5;30.196;28.228
toxin_10382485_uff_E=308.42_uff_E=308.33;-6.4;7.83;5.318
toxin_10382485_uff_E=308.42_uff_E=308.33;-6.4;50.419;45.026
toxin_10382485_uff_E=308.42_uff_E=308.33;-6.3;38.675;35.789
toxin_10382701_uff_E=589.87_uff_E=589.87;-7.0;0.0;0.0
toxin_10382701_uff_E=589.87_uff_E=589.87;-6.8;2.291;0.958
toxin_10382701_uff_E=589.87_uff_E=589.87;-6.6;3.757;1.677
toxin_10382701_uff_E=589.87_uff_E=589.87;-6.6;7.939;2.303
toxin_10382701_uff_E=589.87_uff_E=589.87;-6.5;6.105;1.957
toxin_10382701_uff_E=589.87_uff_E=589.87;-6.4;19.826;16.373
toxin_10382701_uff_E=589.87_uff_E=589.87;-6.4;4.043;1.669
toxin_10382701_uff_E=589.87_uff_E=589.87;-6.3;41.346;39.377
toxin_10382701_uff_E=589.87_uff_E=589.87;-6.2;7.669;2.214
toxin_11551959_uff_E=339.82;-6.7;0.0;0.0
toxin_11551959_uff_E=339.82;-6.2;2.624;1.417
toxin_11551959_uff_E=339.82;-6.1;11.098;7.846
toxin_11551959_uff_E=339.82;-6.1;31.622;28.47
toxin_11551959_uff_E=339.82;-6.0;7.9;4.336
toxin_11551959_uff_E=339.82;-6.0;24.156;20.95
toxin_11551959_uff_E=339.82;-5.8;2.432;1.694
toxin_11551959_uff_E=339.82;-5.8;18.173;14.886
toxin_11551959_uff_E=339.82;-5.7;7.22;4.344
toxin_160570_uff_E=347.82_uff_E=315.48;-5.9;0.0;0.0
toxin_160570_uff_E=347.82_uff_E=315.48;-5.5;43.617;39.84
toxin_160570_uff_E=347.82_uff_E=315.48;-5.5;7.343;2.15
toxin_160570_uff_E=347.82_uff_E=315.48;-5.4;7.082;1.879
toxin_160570_uff_E=347.82_uff_E=315.48;-5.1;40.876;38.811
toxin_160570_uff_E=347.82_uff_E=315.48;-5.0;31.997;27.626
toxin_160570_uff_E=347.82_uff_E=315.48;-5.0;23.825;18.576
toxin_160570_uff_E=347.82_uff_E=315.48;-4.9;7.007;1.862
toxin_160570_uff_E=347.82_uff_E=315.48;-4.9;48.257;45.136
toxin_16078_uff_E=312.91;-6.4;0.0;0.0
toxin_16078_uff_E=312.91;-6.1;20.57;18.352
toxin_16078_uff_E=312.91;-6.1;27.465;24.598
toxin_16078_uff_E=312.91;-6.0;43.072;40.515
toxin_16078_uff_E=312.91;-6.0;27.607;25.192
toxin_16078_uff_E=312.91;-5.9;18.006;14.791
toxin_16078_uff_E=312.91;-5.9;44.143;41.337
toxin_16078_uff_E=312.91;-5.9;18.321;15.177
toxin_16078_uff_E=312.91;-5.8;46.774;43.733
toxin_162113_uff_E=700.71;-6.0;0.0;0.0
toxin_162113_uff_E=700.71;-5.8;49.084;45.183
toxin_162113_uff_E=700.71;-5.6;29.63;26.051
toxin_162113_uff_E=700.71;-5.5;19.915;18.589
toxin_162113_uff_E=700.71;-5.5;20.089;18.382
toxin_162113_uff_E=700.71;-5.4;31.541;27.382
toxin_162113_uff_E=700.71;-5.4;23.105;18.885
toxin_162113_uff_E=700.71;-5.3;47.804;43.799
toxin_162113_uff_E=700.71;-5.2;27.94;25.928
toxin_2543_uff_E=246.61;-6.1;0.0;0.0
toxin_2543_uff_E=246.61;-6.0;27.241;23.42
toxin_2543_uff_E=246.61;-6.0;16.426;14.182
toxin_2543_uff_E=246.61;-5.9;43.746;40.238
toxin_2543_uff_E=246.61;-5.8;16.728;14.18
toxin_2543_uff_E=246.61;-5.7;17.485;14.608
toxin_2543_uff_E=246.61;-5.7;6.485;1.636
toxin_2543_uff_E=246.61;-5.7;17.154;13.585
toxin_2543_uff_E=246.61;-5.6;9.128;3.866
toxin_2977_uff_E=326.49;-6.2;0.0;0.0
toxin_2977_uff_E=326.49;-5.9;13.344;10.471
toxin_2977_uff_E=326.49;-5.9;20.693;19.185
toxin_2977_uff_E=326.49;-5.7;24.099;19.708
toxin_2977_uff_E=326.49;-5.7;12.785;9.658
